"subject","Triaxial_BodyAcc_mean_X","Triaxial_BodyAcc_mean_Y","Triaxial_BodyAcc_mean_Z","Triaxial_BodyAcc_std_X","Triaxial_BodyAcc_std_Y","Triaxial_BodyAcc_std_Z","Triaxial_GravityAcc_mean_X","Triaxial_GravityAcc_mean_Y","Triaxial_GravityAcc_mean_Z","Triaxial_GravityAcc_std_X","Triaxial_GravityAcc_std_Y","Triaxial_GravityAcc_std_Z","Triaxial_BodyAccJerk_mean_X","Triaxial_BodyAccJerk_mean_Y","Triaxial_BodyAccJerk_mean_Z","Triaxial_BodyAccJerk_std_X","Triaxial_BodyAccJerk_std_Y","Triaxial_BodyAccJerk_std_Z","Triaxial_BodyGyro_mean_X","Triaxial_BodyGyro_mean_Y","Triaxial_BodyGyro_mean_Z","Triaxial_BodyGyro_std_X","Triaxial_BodyGyro_std_Y","Triaxial_BodyGyro_std_Z","Triaxial_BodyGyroJerk_mean_X","Triaxial_BodyGyroJerk_mean_Y","Triaxial_BodyGyroJerk_mean_Z","Triaxial_BodyGyroJerk_std_X","Triaxial_BodyGyroJerk_std_Y","Triaxial_BodyGyroJerk_std_Z","Triaxial_BodyAccMag_mean","Triaxial_BodyAccMag_std","Triaxial_GravityAccMag_mean","Triaxial_GravityAccMag_std","Triaxial_BodyAccJerkMag_mean","Triaxial_BodyAccJerkMag_std","Triaxial_BodyGyroMag_mean","Triaxial_BodyGyroMag_std","Triaxial_BodyGyroJerkMag_mean","Triaxial_BodyGyroJerkMag_std","Fourier_BodyAcc_mean_X","Fourier_BodyAcc_mean_Y","Fourier_BodyAcc_mean_Z","Fourier_BodyAcc_std_X","Fourier_BodyAcc_std_Y","Fourier_BodyAcc_std_Z","Fourier_BodyAccJerk_mean_X","Fourier_BodyAccJerk_mean_Y","Fourier_BodyAccJerk_mean_Z","Fourier_BodyAccJerk_std_X","Fourier_BodyAccJerk_std_Y","Fourier_BodyAccJerk_std_Z","Fourier_BodyGyro_mean_X","Fourier_BodyGyro_mean_Y","Fourier_BodyGyro_mean_Z","Fourier_BodyGyro_std_X","Fourier_BodyGyro_std_Y","Fourier_BodyGyro_std_Z","Fourier_BodyAccMag_mean","Fourier_BodyAccMag_std","Fourier_BodyBodyAccJerkMag_mean","Fourier_BodyBodyAccJerkMag_std","Fourier_BodyBodyGyroMag_mean","Fourier_BodyBodyGyroMag_std","Fourier_BodyBodyGyroJerkMag_mean","Fourier_BodyBodyGyroJerkMag_std"
1,0.265696920582133,-0.0182981725176081,-0.10784573454611,-0.545795331328326,-0.367716218227378,-0.502645746562824,0.744867411573487,-0.0825562579855908,0.072339870389049,-0.959859435936599,-0.951150627458213,-0.925817590867435,0.0770930495126801,0.0165908438802305,-0.00910758730117003,-0.524721922818732,-0.470412403511239,-0.717322274881844,-0.0208764064320173,-0.0880722729400576,0.0862641666597983,-0.686555715201729,-0.450979810499568,-0.597496136795101,-0.0971120197265994,-0.0417164808293948,-0.0471393985477522,-0.637812687210375,-0.634472244550432,-0.664591977786455,-0.453632943768818,-0.497096402038329,-0.453632943768818,-0.497096402038329,-0.545431612066571,-0.515922167555159,-0.475404785802305,-0.499839593745821,-0.639517432642651,-0.652050770910663,-0.531895161258213,-0.406435448904438,-0.596411165253602,-0.553060616663401,-0.390150939647061,-0.498583091676081,-0.547348892435764,-0.507343617969859,-0.695305113832853,-0.543979776127867,-0.466251676533372,-0.737861932680115,-0.623219182311527,-0.505309434070029,-0.553529065425648,-0.708263420861671,-0.429825832648703,-0.650476162132565,-0.478448523354179,-0.589710231217867,-0.499075765624092,-0.541823079570029,-0.535002770337752,-0.566576670397695,-0.645970655298847,-0.685811262634006
2,0.273113115788079,-0.0191323183174834,-0.115649958175497,-0.605586497159271,-0.428962986589404,-0.589360062210596,0.660782866688742,-0.147219886910411,0.134865335090728,-0.963015508245033,-0.960033560165563,-0.945365383907285,0.0785353156747351,0.00708771249764901,0.000755760748377483,-0.557809603123841,-0.491875889831788,-0.741885388311258,-0.0517030657821192,-0.0568420186817881,0.0872599422291391,-0.710648927815894,-0.722943674337748,-0.634888927843046,-0.0875587491668874,-0.0433986835453642,-0.0557541828188742,-0.671679103311258,-0.783595466728477,-0.674611933293046,-0.535281800541722,-0.552812545643709,-0.535281800541722,-0.552812545643709,-0.58777744543543,-0.512115278415232,-0.614771054893146,-0.680584887880795,-0.746559539039735,-0.740088733655629,-0.57377091142947,-0.432566581302351,-0.630081222124834,-0.619788102803311,-0.464723862913245,-0.600678614835099,-0.561682049622185,-0.50890379901457,-0.715745330403973,-0.595105612895033,-0.509147543673841,-0.767087015496689,-0.638717694593046,-0.722068978635762,-0.601594889654305,-0.734588540182119,-0.72716774102649,-0.683114494539735,-0.514569861316887,-0.646662308457285,-0.509746432970861,-0.518800797709272,-0.699742945221854,-0.725310337688742,-0.751615078360927,-0.744194981440397
3,0.273428719636364,-0.017856067384956,-0.106492632429097,-0.623413602046921,-0.480015920697654,-0.653625579293255,0.707814353343108,-0.0260590480328739,0.0480937904190616,-0.966457565630499,-0.9445645371261,-0.926966278211144,0.0701731261988856,0.0144664329060411,-0.000526818872875366,-0.635484688041056,-0.55721186773783,-0.796066240234604,-0.0248490682828446,-0.0743565308442815,0.0866875497119062,-0.699262195705865,-0.76302218170088,-0.709483440322581,-0.0991554609633431,-0.0401923943695015,-0.0521178264170088,-0.689328428607038,-0.842659862111437,-0.743028500565982,-0.563140802770059,-0.591224780306452,-0.563140802770059,-0.591224780306452,-0.650182434328446,-0.607658214170381,-0.643150121648094,-0.674010290979472,-0.784056656246334,-0.80366136372434,-0.625733289873607,-0.501779938505279,-0.699656828592375,-0.623805015199413,-0.502753639795894,-0.657443765803519,-0.645893496630499,-0.582949919157742,-0.780101644193548,-0.657844055881525,-0.559851186088408,-0.81080601659824,-0.642097719778592,-0.775144985073314,-0.670734708996481,-0.719276622702346,-0.758505287214076,-0.751008875659824,-0.579076453758064,-0.663079838985044,-0.604752108072727,-0.615643694857361,-0.716822144279179,-0.703839403007038,-0.810085498651026,-0.810032718739003
4,0.274183111498423,-0.0148081545344921,-0.107521430810726,-0.605211727785489,-0.509929384011325,-0.709492735962145,0.706593043123028,0.112591195496986,0.164130896618297,-0.962636979274448,-0.941416800167192,-0.941403426072555,0.0788637845151419,0.00351340949514196,-0.00737375142832808,-0.631853083289621,-0.584063204701893,-0.843353231167192,-0.0289417906907571,-0.0787229907785489,0.0957174866009464,-0.701397703369085,-0.79823574873817,-0.726374197066246,-0.107859315713249,-0.0400427574662461,-0.0578089304000631,-0.723788617823344,-0.902502592618297,-0.748369141315457,-0.56158213510694,-0.606556049548896,-0.56158213510694,-0.606556049548896,-0.656116311856877,-0.647249966810726,-0.656291093847319,-0.706738493542587,-0.819191368044164,-0.844187064164038,-0.628806379100946,-0.52583456615142,-0.755235428895899,-0.597551324155678,-0.534661524341987,-0.708764043722397,-0.652023078038801,-0.601696223759495,-0.825154871135647,-0.644622004704416,-0.593855151524606,-0.860544668359621,-0.641881977553943,-0.831527531009464,-0.689308946422713,-0.721749187328076,-0.782885735867508,-0.7670895729653,-0.602098037677603,-0.672948341687697,-0.63501900541041,-0.666506718936908,-0.745650754608833,-0.732586304826498,-0.838833209652997,-0.863096864037855
5,0.279177960301325,-0.0154833455336192,-0.105661736816887,-0.507691011391722,-0.402724906078146,-0.646443640175497,0.698153719072848,0.112313109736755,0.0921607197449904,-0.964629108807947,-0.939973777950331,-0.94207867884106,0.0841019899622517,0.0017656830384106,-0.0029537113427351,-0.575890535679801,-0.506544358609603,-0.78456199486755,-0.0294516873643046,-0.0774316445596026,0.0866267116745033,-0.709955676983444,-0.705638306688742,-0.606589817380795,-0.103522877147351,-0.0490624519374172,-0.0506258160122517,-0.662581310334437,-0.774114270364238,-0.564680771249007,-0.460866415568709,-0.52162345171192,-0.460866415568709,-0.52162345171192,-0.589313870006622,-0.589031268133113,-0.602770284825828,-0.664078383532781,-0.707383517582782,-0.734187493344371,-0.55123770513245,-0.440232431795033,-0.696171811490066,-0.492829885748675,-0.422162171100331,-0.649351210748344,-0.604769869438742,-0.550991969857417,-0.768762357980132,-0.584013626983444,-0.491500434303907,-0.798835563807947,-0.632239300829801,-0.71706218781457,-0.537329127293278,-0.73573857718543,-0.702290390960265,-0.669353687483444,-0.528503022745033,-0.594259529756954,-0.573176177044172,-0.613485123609272,-0.677355755703311,-0.715731148145695,-0.748829309536424,-0.735610602483444
6,0.272376614181538,-0.0175697042641846,-0.11599454136,-0.505086085072062,-0.368403670137262,-0.672512004586708,0.688702063569231,0.0162055455953846,0.0475199990906462,-0.958898709015385,-0.9509348864,-0.937910223507692,0.0813833604034769,0.000479281129661539,-0.00225896302076923,-0.531468310262154,-0.454437496885815,-0.738955207627692,-0.0433611785374462,-0.0706129097498462,0.0973130293888923,-0.653800660041538,-0.626252072652308,-0.599910232855692,-0.0829159966093231,-0.0454921005615385,-0.0533610323667692,-0.546009968372308,-0.677635980501539,-0.526908306306892,-0.464770006998123,-0.483790606354154,-0.464770006998123,-0.483790606354154,-0.551413652396923,-0.502935062310769,-0.549494852037046,-0.579837818063692,-0.621936158532308,-0.644474485460492,-0.506174926221538,-0.392041410138769,-0.683725945015385,-0.506680276530492,-0.396677793847908,-0.694365207233846,-0.549394273848923,-0.503558973703692,-0.720867157741538,-0.555346159400332,-0.437837459287385,-0.755751144098462,-0.537201442069846,-0.621188724858462,-0.507604207506462,-0.692862440004,-0.633236229753846,-0.67302031484,-0.473974924380431,-0.570910289993846,-0.494882316238462,-0.516711262173969,-0.579130051151385,-0.657368673849846,-0.651886909221538,-0.660175875210246
7,0.270211697814935,-0.0187904887668182,-0.112492375388312,-0.577518324748052,-0.546403365345779,-0.456473642256981,0.681289120844156,-0.0420221452496753,0.0342160711928604,-0.956538178587662,-0.955312554090909,-0.923304724090909,0.0831829573168831,0.00760909767418831,-0.00791725696048701,-0.615131377408279,-0.622997416262013,-0.664336860544416,-0.0518716929407792,-0.0646077113078896,0.0977671721406169,-0.687155474097403,-0.652408657909091,-0.663340760331169,-0.0942037376182662,-0.0414401406082792,-0.0610307928148701,-0.701731200484416,-0.674920114957468,-0.750808705594156,-0.511312036747403,-0.510669879158539,-0.511312036747403,-0.510669879158539,-0.622815767680292,-0.550560230585714,-0.581899897967532,-0.598670795839286,-0.713191348337662,-0.658017844948377,-0.593011288564935,-0.563547785174026,-0.531005941495552,-0.572347541484091,-0.567046977262987,-0.460792123277305,-0.637521940243831,-0.641687333850227,-0.642515716574286,-0.626785744584416,-0.62853163071948,-0.684856438953896,-0.643767578493507,-0.630419275006169,-0.655083354905844,-0.703883646896104,-0.671161922837662,-0.698949518905844,-0.518323878824675,-0.583819796092208,-0.553360009658182,-0.550683254908442,-0.628877272791136,-0.650923648207792,-0.668879188156396,-0.668963362464935
8,0.270759063295374,-0.0181894974688612,-0.106809623683986,-0.582958863017438,-0.349383732046263,-0.499472687913167,0.647498175409253,0.0303211113118861,0.0836542406807936,-0.954256666035587,-0.94844645047331,-0.923180663601423,0.084215745375516,0.000860301581786477,-0.0196719912994306,-0.575993073911744,-0.458724925167972,-0.66835678475516,0.00359053897160142,-0.091077509832669,0.0640867611561922,-0.656219242281851,-0.570941237019217,-0.511392038012811,-0.104969855200356,-0.0400922240331673,-0.0582887148366548,-0.674984452240214,-0.683086930288968,-0.695970301754448,-0.468522592843416,-0.554038979266192,-0.468522592843416,-0.554038979266192,-0.534248616612028,-0.564471999961566,-0.476214943826192,-0.581422885341281,-0.673625525658363,-0.715838385516014,-0.581831414648399,-0.374944236206406,-0.550979388719929,-0.585343460535587,-0.378656458967972,-0.513206312959075,-0.59163500910605,-0.495906215569395,-0.644285802406762,-0.598546245236655,-0.45636839585694,-0.691480916950178,-0.601382421248399,-0.575938482711388,-0.525562919047438,-0.675275353078292,-0.573087292172598,-0.553968587869751,-0.512106792856939,-0.651638076286121,-0.529244911130605,-0.618027414911032,-0.609984289180071,-0.636673891144128,-0.70215621546726,-0.755717299964413
9,0.270313841621528,-0.0209466555412396,-0.101233826213889,-0.555656544538194,-0.5758878952125,-0.506111776081806,0.670845545555556,-0.0467446999509028,0.104353653032743,-0.958784666180556,-0.949938115208333,-0.920554317815972,0.0840171430291667,0.00678485848399306,-0.00102998088194444,-0.578305161360069,-0.678923872274306,-0.721610094569444,-0.0701318154561458,-0.0729884312991667,0.109092913237986,-0.676452392569444,-0.670498220701389,-0.587557692291458,-0.0892254930640278,-0.0397344421815972,-0.053402884281875,-0.7617108665625,-0.773273878854167,-0.744656038298611,-0.505183470509188,-0.553038255314792,-0.505183470509188,-0.553038255314792,-0.621608245092361,-0.608862145384722,-0.550201866572569,-0.663198385034722,-0.7629795809375,-0.786176892048611,-0.579258404408681,-0.610267804090278,-0.592119122804271,-0.547995744907986,-0.586766083232639,-0.501074006965903,-0.621377141312847,-0.699766614569444,-0.702931927996528,-0.572819893733993,-0.679065855003472,-0.739139922708333,-0.639863219559028,-0.683924287600694,-0.612680463163889,-0.690689895534722,-0.667203220760417,-0.619468634127778,-0.553186448295139,-0.624456827182986,-0.609193721940625,-0.611619343190972,-0.700863097986111,-0.697729432621528,-0.786473954201389,-0.801296292638889
10,0.27684847392517,-0.017835790552415,-0.111301532185714,-0.537807711163265,-0.497405885644898,-0.614776952226361,0.642905730306122,-0.0740248544557823,0.0552047227876769,-0.965808126428571,-0.95452407255102,-0.938706428064626,0.0798108613061224,0.0129143257457823,-0.0113556967940476,-0.52938321427551,-0.540236619204728,-0.750729260772109,-0.0185023695936054,-0.0846403674590918,0.0910265011879252,-0.67390558227449,-0.591333155194558,-0.598142328621088,-0.108150829882313,-0.0424219983671769,-0.0555521277515646,-0.703243499727891,-0.768641779047619,-0.686800252738095,-0.502500207000204,-0.545348810631551,-0.502500207000204,-0.545348810631551,-0.57776193128833,-0.529340480130272,-0.521819802352381,-0.624408369413333,-0.734465805340136,-0.768821828979592,-0.532289464513605,-0.494651474235034,-0.655062273211565,-0.541170169070068,-0.532135172812313,-0.625871772082993,-0.547243039827891,-0.555104553563503,-0.721689700769728,-0.553403478735408,-0.556271725483333,-0.77916817122449,-0.620379208870442,-0.64835059542517,-0.567456661721769,-0.692654261914966,-0.565943677806122,-0.645947720476871,-0.518734046961905,-0.633196110969728,-0.515140810846939,-0.553027359614864,-0.661496552826531,-0.666014612598639,-0.767780095068027,-0.787144257176871
11,0.27658531139557,-0.0191272531933228,-0.108941761642405,-0.58947649779557,-0.490379346996835,-0.665324314227848,0.730526184936709,0.0527387028613924,0.140209861246835,-0.975394457689873,-0.957138770727848,-0.956812000411392,0.0830134540658228,0.0078044254343038,-0.00657424975259494,-0.659323083055063,-0.608784226719937,-0.842511816044304,-0.0547328440272468,-0.0582275770813291,0.087284109682356,-0.739922126628797,-0.703501766487342,-0.725016008797468,-0.0805473309873418,-0.0493914065474684,-0.0480140167267405,-0.781738140601266,-0.868377254082279,-0.795490882468354,-0.542825032813608,-0.612882270912658,-0.542825032813608,-0.612882270912658,-0.679819504547468,-0.664241760370253,-0.628367851066456,-0.696771378957911,-0.826829028481013,-0.866905012626582,-0.619524028324684,-0.531455265662532,-0.750026145791139,-0.579491754749367,-0.502570240243354,-0.652095671108544,-0.676672987166456,-0.632374688606013,-0.825559590221519,-0.672195644346519,-0.609444998247785,-0.858259630601266,-0.709949332117089,-0.776852868955696,-0.708842979272152,-0.751758277167721,-0.670892713066772,-0.75596062835443,-0.611528074359177,-0.674470159009494,-0.656133473274684,-0.676925075857595,-0.757585939588608,-0.711267219682278,-0.864827011392405,-0.879254016740506
12,0.27360872421875,-0.018337204411489,-0.106649116775,-0.583962207065,-0.522040023435,-0.699293531365625,0.69922245131875,0.029976775735,0.0330295544910625,-0.96738343446875,-0.9605729084375,-0.9468085636875,0.070430311315625,0.0053115377979375,0.0003081123684,-0.582418267596875,-0.571359817082031,-0.79262193625,-0.0628663472537188,-0.0592027333975,0.0960742146838125,-0.727881704983125,-0.73506282621875,-0.671057678528125,-0.0731134377315625,-0.043678823491875,-0.0574585039485312,-0.709726149496875,-0.8112325993125,-0.749351860259375,-0.559586545675313,-0.5743864944925,-0.559586545675313,-0.5743864944925,-0.6300504918575,-0.566365683597188,-0.63166805889875,-0.68485805678325,-0.77729447821875,-0.7863865328125,-0.578920210879375,-0.523287078731563,-0.7266403145,-0.586922577889687,-0.553076639139062,-0.709983235125,-0.599109317756219,-0.591296422972219,-0.7754265825625,-0.602960063359688,-0.579168053712969,-0.80858300040625,-0.661246826087188,-0.74479814778125,-0.657369914584375,-0.750393858303125,-0.7334567315,-0.70823315425,-0.55928367746625,-0.65053328158,-0.564239194378438,-0.571614888155312,-0.717311676745625,-0.719438065809375,-0.78990285099375,-0.7973614576875
13,0.275895876198777,-0.0176504796070948,-0.109135285550765,-0.624844460199083,-0.448816097853364,-0.587230562129052,0.709996516908257,-0.0420858101162079,0.0443010536786239,-0.967268063455658,-0.953540716850153,-0.938727880275229,0.0794393034550306,0.00387961953328135,-0.0123485923641621,-0.638889532599083,-0.569700547488012,-0.728452966311927,-0.0562470618980061,-0.0616613787494801,0.098866059686422,-0.715109859672783,-0.645728612088685,-0.643337285033639,-0.0881182379434251,-0.0440836605146789,-0.0582718748712538,-0.715772980189602,-0.718988591831804,-0.712716428498471,-0.539871637249541,-0.597230982062691,-0.539871637249541,-0.597230982062691,-0.625466938809174,-0.610248540269939,-0.581215403184709,-0.636364939544342,-0.712745036012232,-0.712056186747706,-0.638817912651682,-0.493467193137125,-0.629736258731804,-0.620602036452599,-0.462584458627829,-0.599036895271407,-0.66008217407156,-0.603340489937615,-0.710831730361468,-0.649606227431844,-0.562129866937645,-0.744823539571865,-0.65864242140581,-0.647152817899388,-0.620471226529052,-0.734657989051988,-0.650623558847401,-0.685774481529052,-0.589928108599083,-0.665344858593272,-0.607295296423853,-0.617075473106453,-0.652225306544343,-0.691915161336391,-0.712054366504281,-0.733183567759939
14,0.270184596009288,-0.0162548178510526,-0.100985935692074,-0.611671118216099,-0.374730765205077,-0.29354271467452,0.672081224882353,-0.111701388781115,-0.161179728291022,-0.941245714736842,-0.942377305312693,-0.915927846160991,0.0741757467665015,0.00443682723817957,-0.00253044692473994,-0.641964198633003,-0.586459622773684,-0.656855586102105,0.000253671358297214,-0.0954921154823529,0.0606712446996904,-0.728661379340557,-0.398959362766099,-0.364478192502167,-0.107556127062003,-0.0433200489340217,-0.0450693836894427,-0.7862917325387,-0.6979155314613,-0.638299064788854,-0.453262620331889,-0.474058613408978,-0.453262620331889,-0.474058613408978,-0.608973420309907,-0.605144269857245,-0.416459776709257,-0.471486714606811,-0.700520939854799,-0.727023009383901,-0.619513271851703,-0.455237617000929,-0.440650672343653,-0.609406374110062,-0.376829989404644,-0.275013722171486,-0.654385009392879,-0.598699531399381,-0.618712162187307,-0.661460356953251,-0.60215894382322,-0.694424996467802,-0.699166400749226,-0.50463317018839,-0.42391821438452,-0.740052209854489,-0.348864187370186,-0.407672097170898,-0.490874179820433,-0.548269930770588,-0.596896308848452,-0.619215144539319,-0.543030528985449,-0.516930495917399,-0.717590101802972,-0.760560087962848
